Product code;Description
3BA50185EJ;VG GENERIC HOTEL L2/L3 EN/IT
3BA50185EP;VG GENERIC HOTEL L2/L3 EN/PO
3BA50185ES;VG GENERIC HOTEL L2/L3 EN/SP
3BA53175AA;Z20/VG BOARD
3BA57081AA;CONFIGURATION FILES DISKETTE
3BA57158AA;RAM 2MB (GPA BOARD)
3BA57159AA;RAM 4MB (GPA BOARD)
3BA27053AA;DRAM 16MB CPU3-2/3
3BA23205AA;BBC2 BOARD
3BA23193AB;INT-IP BOARD
3BA23194AB;GIP6 CARD
3BA23197BA;CPU6 BOARD
3BA23219AA;GIP6A CARD
3BA27054AA;SDRAM 32MB CPU6
3BA27055AA;SDRAM 64MB CPU6
3BA23212AA;VMU/OBCA2 CARD
3BA23236AA;OBCA2 CARD
3BA00266AC;PACK VH PS REMOTE INTOF
3BA00267AC;PACK VH PS REMOTE RT2
3BA00322AC;CPU3-3 REDUNDANCY PACK
3BA00323AC;CPU3-3 REDUNDANCY PACK MI
3BA00324AC;CPU5-3 REDUNDANCY PACK
3BA00325AC;CPU5-3 REDUNDANCY PACK MI
3BA00332AC;PACK VH PS REMOTE LIOB
3BA00370AA;CPU6 REDUNDANCY PACK
3BA00180AA;INTOF PACK
3BA00371AA;CPU6 REDUNDANCY PACK MI
3BA00374AA;PACK VH PS REMOTE INT-IP
3BA00375AA;INT-IP 8 ACCESS PACK (GIP6A)
3BA00376AA;INT-IP 16 ACCESS PACK (GIP6A)
3BA00377AA;INT-IP 30 ACCESS PACK (GIP6)
3BA00378AA;INT-IP 60 ACCESS PACK (GIP6)
3BA27038AB;CPU5-2 BOARD
3BA27038NA;CPU5-3 BOARD
3BA57450AA;VG CUSTOM REC. ON FLASH CARD
3BA57451AA;VG CUSTOM REC. ON CD-ROM
3BA23243AA;10/100BASE-T CONNECTOR
3BA57423AA;VOICE GUIDES BUSINESS CD-ROM
3BA23011AA;Nx64 BOARD
3BA23060AA;ECX1 BOARD
3BA23077AB;RT2-1 BOARD
3BA23079AA;TNLO2 BOARD
3BA23081AB;RMAB BOARD
3BA23088AA;TNLO1 BOARD
3BA23090AA;SYNC BOARD
3BA23099AA;OBCA CARD
3BA23114AA;SRMA CARD
3BA23123AA;BBC155 BOARD
3BA23125AA;PMD155O-MU CARD
3BA23129AB;MMSFD BOARD
3BA23148AA;ETAC CARD
3BA50051AA;HARDWARE KEY MODULE
3BA27001AA;VG BLANK FLASH CARD
3BA27013AB;IDE HARD DISK
3BA53047AA;ATB2 CARD
3BA53064AA;SPB CARD
3BA53076AB;SU BOARD
3BA53077AB;VG BOARD
3BA53075AB;SU-VG BOARD
3BA53097AA;GPA BOARD
3BA53119AA;COST-MU CARD
3BA53118AA;INTOF BOARD
3BA23050AB;IO2 BOARD
3BA23137AA;LIOP BOARD
3BA23137AB;LIOP-2 BOARD
3BA23138AA;LIOB BOARD
3BA23138AB;LIOB-2 BOARD
3BA23145AA;LIOX BOARD
3BA23145AB;LIOX-2 BOARD
3BA53152AA;COST-MO CARD
3BA23149AA;PMD155EU CARD
3BA23150AA;PMD155EN CARD
3BA23166AA;PMD155O-MO CARD
3BA27044AA;ADD-ON IDE HARD DISK KIT
3BA57162AB;CPU3-2 BOARD
3BA57162NA;CPU3-3 BOARD
3BA27020AA;DRAM 16MB CPU5-2
3BA27036AA;DRAM 8MB CPU3-2/3
3BA27039AA;DRAM 32MB CPU5-2
3BA50162EN;VG GENERIC L1 ENGLISH
3BA50162FR;VG GENERIC L1 FRENCH
3BA50162GE;VG GENERIC L1 GERMAN
3BA50162JT;VG GENERIC L1 ITALIAN
3BA50162PT;VG GENERIC L1 PORTUGUESE
3BA50162SP;VG GENERIC L1 SPANISH
3BA23124AA;ISAB2 CARD
3BA23167AA;LIOE BOARD
3BA23168AA;COMP18 CARD
3BA00340AA;UA32 CONFIGURED BOARD
3BA53050AB;UA32 BOARD
3BA00343AA;PRA2 CONFIGURED BOARD
3BA23076AA;PRA2 BOARD
3BA00339AA;UA16 CONFIGURED BOARD
3BA53084AB;UA16 BOARD
3BA00342AA;Z24-2 CONFIGURED BOARD
3BA53065AZ;Z24 BOARD
3BA53065NA;Z24-2 BOARD
3BA00341AA;Z12-2 CONFIGURED BOARD
3BA53071NA;Z12-2 BOARD
3AH37003AA;12/16 KHZ DETECTOR CARD
3BA53095AD;NDDI BOARD
3BA53069AA;LDTL8 BOARD
3BA53072AA;LDTL4 BOARD
3BA53105AA;AT-R2 BOARD
3BA53116AA;EMTL BOARD
3BA23084AA;ACEM BOARD
3BA23092AA;ATL8 BOARD
3BA23093AA;ATLI CARD
3BA23094AA;ATLO CARD
3BA53124AA;QUAD BOARD
3BA53153AA;UA/ZP BOARD
3BA23064AC;PCM2 BOARD
3BA23074AB;BPRA2-1 BOARD
3BA23073AB;BRA2-1 BOARD
3BA53107AA;APFU CARD
3BA23164AA;DPT1 BOARD
3BA00333AA;4635H BASE H/W
3BA00199AC;4635J BASE H/W
3BA00379AA;4635J BASE H/W
3BA23118AB;4635J VPS35 BOARD W/O HD
3BA23158AA;4635H ATB3I CARD
3BA28110AA;4635 ETHERNET CABLE 10B-T
3BA28210AA;4635 ETHERNET CABLE 10/100B-T
3BA73006AA;4635H SPA3 BOARD
3BA73010AA;4635H MSBI BOARD W/O HD
3BA58107AA;4635 V24 CABLE-10M
3BA73012AB;4635H VPM35-1 BOARD W/O HD
3AK17015RB;4048B OPER. CONSOLE ENGLISH
3AK17015WB;4048B OPER. CONSOLE POLISH
3AK17025AB;4081X ADDON 4048 ANTHRACITE
3BA00216DB;4059 MAC GERMAN
3BA00216UB;4059 MAC AMERIC. ENGLISH
3BA00351DB;4059 MAC GERMAN
3BA00351UB;4059 MAC AMERIC. ENGLISH
3BA00372DB;4049 PAC 17'' GERMAN
3BA00372UB;4049 PAC 17'' AMERIC. ENGLISH
3BH11404AA;4059 ATTENDANT SOFTWARE
3AK28050CZ;FIRST 4004 SET GRAPH CZ
3AK28048CZ;EASY 4010 SET GRAPH CZ
3AK28046CZ;PREMIUM 4020 SET GRAPH CZ
3AK28044CZ;ADVANCED 4035 SET GRAPH CZ
3AK28056CZ;PREMIUM 4022F IP SET GRAPH CZ
3AK28042CZ;ADVANCED 4036 SET GRAPH CZ
3AK28058CZ;ADVANCED 4037F IP SET GRAPH CZ
3BA56167AA;RU-TA BOX ASSEMBLED
3BA56171AA;LU-TA BOX ASSEMBLED
3BA57157AA;RU-TA MAINS ADAPTOR
3AK17011AB;4083ASP PLUGW V24 (V110/V120)
3AK17012AB;4083SYV PLUGW V24
3AK17013AB;4083SYX PLUGW X21
3AK27052DB;4088 EMPTY TERMINAL ADAPTOR
3AK27102AD;4095 PLUGW ANALOG GRAPH EU
3AK27103AD;4091 PLUGW CTI GRAPH EU
3AK27104AD;4094 PLUGW S0 POWERED GRAPH EU
3AK27108AD;4094 PLUGW CTI/S0 GRAPH EU
3AK27105AD;4093 PLUGW V24/CTI GRAPH EU
3AK27106AD;4090M MODULE 20 KEYS GRAPH
3AK27107AD;4090L MODULE 40 KEYS GRAPH
3AC36070AA;4097 PLUGW CBL-DECT GRAPH EU
3BA00380EU;4098PP POWER PATCH PANEL EU
3EU56003AA;4098FRE IP PLUGW GRAPH
3BA00151AA;RMA EXTERNAL BOX EQUIPPED
3BA00151AC;RMA 10/100B-T EXT.BOX EQUIPPED
3BA53128AA;WM1 I.D. CARD
3BA53143AA;CONVER CM9 WITHOUT BOX
3BA56196AA;CONVER CM9 WITH BOX
3BA57020AA;CONNECTOR 2X32 PTS (X20)
3BA57027AA;LOCKING CONNECTORS KIT
3BA57032AA;ADAPTOR SUB D25 F/F
3BA57134AA;ADAPTOR DB25M/DB25M (X50)
3BA56174AB;CBRMA CONNECTING BOX
3BA56174AC;CBRMA 10/100B-T CONNECTING BOX
